district_ID,district_Name
78897,"Academy of Tucson, Inc."
78997,"GAR, LLC dba Student Choice High School"
79000,"Southern Arizona Community Academy, Inc."
79047,Career Success Schools
79049,Daisy Education Corporation dba Sonoran Science Academy
79053,AIBT Non-Profit Charter High School - Phoenix
79059,"E-Institute Charter Schools, Inc."
79063,James Madison Preparatory School
79065,"Kestrel Schools, Inc."
79068,"PACE Preparatory Academy, Inc."
79074,Country Gardens Charter Schools
79077,"Cornerstone Charter School,Inc"
79084,"Skyline Schools, Inc."
79085,"Southgate Academy, Inc."
79211,"Edkey, Inc. - Sequoia Village School"
79213,Academy with Community Partners  Inc
79218,"Telesis Center for Learning, Inc."
79226,Benson Unified School District
79264,"Horizon Community Learning Center, Inc."
79379,Yavapai Accommodation School District
79439,"Pinnacle Education-WMCB, Inc."
79441,"Desert Rose Academy,Inc."
79455,Pointe Schools
79461,American Virtual Academy
79467,"Compass High School, Inc."
79475,James Sandoval Preparatory High School
79496,"Deer Valley Charter Schools, Inc."
79498,Mohave Accelerated Learning Center
79499,"Masada Charter School, Inc."
79501,"Harvest Power Community Development Group, Inc."
79503,Omega Alpha Academy
79569,Premier Charter High School
79578,Pan-American Elementary Charter
79598,Kingman Unified School District
79701,"North Star Charter School, Inc."
79872,American Charter Schools Foundation d.b.a. Desert Hills High School
79873,American Charter Schools Foundation d.b.a. Estrella High School
79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc
79875,American Charter Schools Foundation d.b.a. Peoria Accelerated High School
79876,Kaizen Education Foundation dba Summit High School
79877,American Charter Schools Foundation d.b.a. Sun Valley High School
79878,Kaizen Education Foundation dba Tempe Accelerated High School
79879,American Charter Schools Foundation d.b.a. West Phoenix High School
79880,Kaizen Education Foundation dba Skyview High School
79881,"Nosotros, Inc"
79882,Kaizen Education Foundation dba Maya High School
79883,American Charter Schools Foundation d.b.a. Apache Trail High School
79907,Vista Charter School
79929,Avondale Learning dba Precision Academy
79951,"SC Jensen Corporation, Inc. dba Intelli-School"
79953,"PAS Charter, Inc., dba Intelli-School"
79957,"Valley of the Sun Waldorf Education Association, dba Desert Marigold School"
79959,"Pima Prevention Partnership dba Pima Partnership School, The"
79967,LEAD Charter Schools
79979,"Tucson International Academy, Inc."
79981,"Edkey, Inc. - Arizona Conservatory for Arts and Academics"
80001,Carpe Diem Collegiate High School
80032,CPLC Community Schools dba Toltecalli High School
80989,American Charter Schools Foundation d.b.a. South Pointe High School
80992,Veritas Preparatory Academy
80995,American Charter Schools Foundation d.b.a. Alta Vista High School
81001,"Pinnacle Education-Tempe, Inc."
81009,"Pinnacle Education-Kino, Inc."
81011,"Pinnacle Education-Casa Grande, Inc."
81027,Cochise Community Development Corporation
81029,"Canyon Rose Academy, Inc."
81041,Blueprint Education
81050,"Edkey, Inc. - Sequoia School for the Deaf and Hard of Hearing"
81078,"BASIS Charter Schools, Inc."
81099,Desert Heights Charter Schools
81174,MCCCD on behalf of Phoenix College Preparatory Academy
85448,CITY Center for Collaborative Learning
85540,"Academy of Building Industries, Inc."
85749,"Edkey, Inc."
85816,"Arizona Agribusiness & Equine Center, Inc."
87334,Pillar Charter School
87349,Legacy Education Group
87405,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)"
87407,"Arizona Connections Academy Charter School, Inc."
87600,Gila County Regional School District
88299,Chandler Preparatory Academy
88334,American Charter Schools Foundation d.b.a. South Ridge High School
89412,"Eduprize Schools, LLC"
89486,Arete Preparatory Academy
89756,Scottsdale Preparatory Academy
89788,"Imagine Prep Superstition, Inc."
89790,"Imagine Prep Surprise, Inc."
89798,"San Tan Montessori School, Inc."
89829,Glendale Preparatory Academy
89869,"AZ Compass Schools, Inc."
89871,Blue Adobe Project
89914,Daisy Education Corporation dba Sonoran Science Academy - Phoenix
89917,Daisy Education Corporation dba Paragon Science Academy
90034,"Imagine Prep Coolidge, Inc."
90138,"Choice Academies, Inc."
90201,Educational Options Foundation
90284,Daisy Education Corporation dba. Sonoran Science Academy Davis Monthan
90287,"The Odyssey Preparatory Academy, Inc."
90327,"CAFA, Inc. dba Learning Foundation and Performing Arts Gilbert"
90329,"Skyline Gila River Schools, LLC"
90331,CPLC Community Schools dba Hiaki High School
90508,"BASIS Charter Schools, Inc."
90532,Anthem Preparatory Academy
90533,"Compass Points International, Inc"
90536,Pima Prevention Partnership
90548,Kaizen Education Foundation dba Mission Heights Preparatory High School
90758,Arizona Education Solutions
90779,"Arizona Agribusiness & Equine Center, Inc."
90841,"BASIS Charter Schools, Inc."
90842,"BASIS Charter Schools, Inc."
90859,Trivium Preparatory Academy
90861,Maryvale Preparatory Academy
90862,"BASIS Charter Schools, Inc."
90876,"Institute for Transformative Education, Inc."
90879,North Phoenix Preparatory Academy
90997,"Pima Rose Academy, Inc."
91131,"Arizona Agribusiness & Equine Center, Inc."
91277,Empower College Prep
91280,"BASIS Charter Schools, Inc."
91303,ASU Preparatory Academy
91305,ASU Preparatory Academy
91309,"BASIS Charter Schools, Inc."
91339,"BASIS Charter Schools, Inc."
91935,Madison Highland Prep
91937,"Western School of Science and Technology, Inc."
91949,"BASIS Charter Schools, Inc."
91958,"Arizona Autism Charter Schools, Inc."
91992,StrengthBuilding Partners
92043,Southwest Leadership Academy
92226,"Edkey, Inc. - Sequoia Pathway Academy"
92316,Cicero Preparatory Academy
92320,"BASIS Charter Schools, Inc."
92519,"Heritage Academy Gateway, Inc."
92520,"Heritage Academy Laveen, Inc."
92657,Lincoln Preparatory Academy
92734,"BASIS Charter Schools, Inc."
92976,Think Through Academy
92982,Highland Prep
92983,"Pathways In Education-Arizona, Inc."
92987,ASU Preparatory Academy - Casa Grande
92988,Estrella Educational Foundation
134379,Arizona Agribusiness & Equine Center INC.
346763,ASU Preparatory Academy
449790,"AIBT Non-Profit Charter High School, Inc."
522074,ASU Preparatory Academy Digital
1000166,A+ Charter Schools
1000291,"Valor Preparatory Academy, LLC"
1000979,Freedom Preparatory Academy
1001346,American Charter Schools Foundation dba Ridgeview College Preparatory High School
1001687,Cochise County Accommodation School District
1001719,Online School of Arizona
1001949,Arizona Goodwill Education Services
