School_ID,School_Name,Subgroup_Name,No_in_Class,No_Graduated,Percent_Graduated
5014,Cactus High School,Foster Care,0,0,0
5014,Cactus High School,Hispanic or Latino,84,0,0
5014,Cactus High School,Homeless,0,0,0
5014,Cactus High School,Income Eligibility 1 & 2,92,0,0
5014,Cactus High School,Male,137,0,0
5014,Cactus High School,Military,0,0,0
5014,Cactus High School,Multiple Races,14,0,0
5014,Cactus High School,Native Hawaiian or Pacific Islander,0,0,0
5014,Cactus High School,Special Education,22,0,0
5014,Cactus High School,White,140,0,0
5015,Ironwood High School,All,407,381,93.6
5015,Ironwood High School,American Indian or Alaska Native,0,0,0
5015,Ironwood High School,Asian,23,0,0
5015,Ironwood High School,Black/African American,21,0,0
5015,Ironwood High School,English Learners,0,0,0
5015,Ironwood High School,ELFEP14,16,0,0
5015,Ironwood High School,Female,200,0,0
5015,Ironwood High School,Foster Care,0,0,0
5015,Ironwood High School,Hispanic or Latino,169,0,0
5015,Ironwood High School,Homeless,0,0,0
5015,Ironwood High School,Income Eligibility 1 & 2,159,147,92.5
5015,Ironwood High School,Male,207,0,92.3
5015,Ironwood High School,Military,0,0,0
5015,Ironwood High School,Multiple Races,18,0,0
5015,Ironwood High School,Special Education,24,0,0
5015,Ironwood High School,White,170,158,92.9
5016,Centennial High School,All,472,453,96
5016,Centennial High School,American Indian or Alaska Native,0,0,0
5016,Centennial High School,Asian,14,0,0
5016,Centennial High School,Black/African American,27,0,0
5016,Centennial High School,English Learners,0,0,0
5016,Centennial High School,ELFEP14,0,0,0
5016,Centennial High School,Female,237,0,0
5016,Centennial High School,Foster Care,0,0,0
5016,Centennial High School,Hispanic or Latino,157,0,0
5016,Centennial High School,Homeless,0,0,0
5016,Centennial High School,Income Eligibility 1 & 2,120,0,0
5016,Centennial High School,Male,235,0,95.3
5016,Centennial High School,Military,0,0,0
5016,Centennial High School,Multiple Races,27,0,0
5016,Centennial High School,Native Hawaiian or Pacific Islander,0,0,0
5016,Centennial High School,Special Education,41,0,0
5016,Centennial High School,White,240,0,0
5017,Sunrise Mountain High School,All,485,0,0
5017,Sunrise Mountain High School,American Indian or Alaska Native,0,0,0
5017,Sunrise Mountain High School,Asian,18,0,0
5017,Sunrise Mountain High School,Black/African American,16,0,0
5017,Sunrise Mountain High School,English Learners,0,0,0
5017,Sunrise Mountain High School,ELFEP14,0,0,0
5017,Sunrise Mountain High School,Female,242,0,0
5017,Sunrise Mountain High School,Foster Care,0,0,0
5017,Sunrise Mountain High School,Hispanic or Latino,77,0,0
5017,Sunrise Mountain High School,Homeless,0,0,0
5017,Sunrise Mountain High School,Income Eligibility 1 & 2,60,0,0
5017,Sunrise Mountain High School,Male,243,0,0
5017,Sunrise Mountain High School,Military,0,0,0
5017,Sunrise Mountain High School,Multiple Races,29,0,0
5017,Sunrise Mountain High School,Special Education,32,0,0
5017,Sunrise Mountain High School,White,344,0,0
6231,Peoria Flex Academy,All,60,46,76.7
6231,Peoria Flex Academy,American Indian or Alaska Native,0,0,0
6231,Peoria Flex Academy,Asian,0,0,0
6231,Peoria Flex Academy,Black/African American,0,0,0
6231,Peoria Flex Academy,English Learners,0,0,0
6231,Peoria Flex Academy,ELFEP14,0,0,0
6231,Peoria Flex Academy,Female,29,0,0
6231,Peoria Flex Academy,Hispanic or Latino,37,0,0
6231,Peoria Flex Academy,Homeless,0,0,0
6231,Peoria Flex Academy,Income Eligibility 1 & 2,27,0,0
6231,Peoria Flex Academy,Male,31,0,0
6231,Peoria Flex Academy,Special Education,0,0,0
6231,Peoria Flex Academy,White,18,0,0
81207,Peoria eCampus,All,0,0,0
81207,Peoria eCampus,Female,0,0,0
81207,Peoria eCampus,Hispanic or Latino,0,0,0
81207,Peoria eCampus,Income Eligibility 1 & 2,0,0,0
81207,Peoria eCampus,Male,0,0,0
81207,Peoria eCampus,White,0,0,0
85835,Raymond S. Kellis,All,434,395,91
85835,Raymond S. Kellis,American Indian or Alaska Native,0,0,0
85835,Raymond S. Kellis,Asian,21,0,0
85835,Raymond S. Kellis,Black/African American,46,0,0
85835,Raymond S. Kellis,English Learners,12,0,0
85835,Raymond S. Kellis,ELFEP14,16,0,0
85835,Raymond S. Kellis,Female,244,227,93
85835,Raymond S. Kellis,Foster Care,0,0,0
85835,Raymond S. Kellis,Hispanic or Latino,250,232,92.8
85835,Raymond S. Kellis,Homeless,0,0,0
85835,Raymond S. Kellis,Income Eligibility 1 & 2,187,165,88.2
85835,Raymond S. Kellis,Male,190,168,88.4
85835,Raymond S. Kellis,Military,0,0,0
85835,Raymond S. Kellis,Multiple Races,17,0,0
85835,Raymond S. Kellis,Native Hawaiian or Pacific Islander,0,0,0
85835,Raymond S. Kellis,Special Education,36,0,0
85835,Raymond S. Kellis,White,95,0,0
87520,Liberty High School,All,652,633,97.1
87520,Liberty High School,American Indian or Alaska Native,0,0,0
87520,Liberty High School,Asian,24,0,0
87520,Liberty High School,Black/African American,29,0,0
87520,Liberty High School,English Learners,0,0,0
87520,Liberty High School,ELFEP14,0,0,0
87520,Liberty High School,Female,321,0,0
87520,Liberty High School,Hispanic or Latino,103,0,0
87520,Liberty High School,Homeless,0,0,0
87520,Liberty High School,Income Eligibility 1 & 2,60,0,0
87520,Liberty High School,Male,331,0,96.7
87520,Liberty High School,Military,0,0,0
87520,Liberty High School,Multiple Races,33,0,0
87520,Liberty High School,Native Hawaiian or Pacific Islander,0,0,0
87520,Liberty High School,Special Education,64,0,0
87520,Liberty High School,White,459,0,0
5019,Gila Bend High School,All,38,21,55.3
5019,Gila Bend High School,American Indian or Alaska Native,12,0,0
5019,Gila Bend High School,English Learners,0,0,0
5019,Gila Bend High School,ELFEP14,0,0,0
5019,Gila Bend High School,Female,18,0,0
5019,Gila Bend High School,Hispanic or Latino,25,0,0
5019,Gila Bend High School,Income Eligibility 1 & 2,38,21,55.3
5019,Gila Bend High School,Male,20,0,0
5019,Gila Bend High School,Special Education,0,0,0
5019,Gila Bend High School,White,0,0,0
5039,Gilbert High School,All,543,472,86.9
5039,Gilbert High School,American Indian or Alaska Native,0,0,0
5039,Gilbert High School,Asian,20,0,0
5039,Gilbert High School,Black/African American,15,0,0
5039,Gilbert High School,English Learners,0,0,0
5039,Gilbert High School,ELFEP14,11,0,0
5039,Gilbert High School,Female,239,214,89.5
5039,Gilbert High School,Foster Care,0,0,0
5039,Gilbert High School,Hispanic or Latino,157,135,86
5039,Gilbert High School,Homeless,0,0,0
5039,Gilbert High School,Income Eligibility 1 & 2,139,124,89.2
5039,Gilbert High School,Male,304,258,84.9
5039,Gilbert High School,Military,0,0,0
5039,Gilbert High School,Multiple Races,22,0,0
5039,Gilbert High School,Special Education,56,42,75
5039,Gilbert High School,White,303,281,92.7
5040,Highland High School,All,783,726,92.7
5040,Highland High School,American Indian or Alaska Native,0,0,0
5040,Highland High School,Asian,27,0,0
5040,Highland High School,Black/African American,13,0,0
5040,Highland High School,English Learners,0,0,0
5040,Highland High School,ELFEP14,0,0,0
5040,Highland High School,Female,367,348,94.8
5040,Highland High School,Hispanic or Latino,133,122,91.7
5040,Highland High School,Homeless,0,0,0
5040,Highland High School,Income Eligibility 1 & 2,125,110,88
5040,Highland High School,Male,416,378,90.9
5040,Highland High School,Migrant,0,0,0
5040,Highland High School,Military,0,0,0
5040,Highland High School,Multiple Races,28,0,0
5040,Highland High School,Native Hawaiian or Pacific Islander,0,0,0
5040,Highland High School,Special Education,48,32,66.7
5040,Highland High School,White,548,525,95.8
6007,Mesquite High School,All,356,298,83.7
6007,Mesquite High School,American Indian or Alaska Native,0,0,0
6007,Mesquite High School,Asian,0,0,0
6007,Mesquite High School,Black/African American,17,0,0
6007,Mesquite High School,English Learners,0,0,0
6007,Mesquite High School,ELFEP14,0,0,0
6007,Mesquite High School,Female,175,156,89.1
6007,Mesquite High School,Foster Care,0,0,0
6007,Mesquite High School,Hispanic or Latino,131,112,85.5
6007,Mesquite High School,Homeless,0,0,0
6007,Mesquite High School,Income Eligibility 1 & 2,126,107,84.9
6007,Mesquite High School,Male,181,142,78.5
6007,Mesquite High School,Military,0,0,0
6007,Mesquite High School,Multiple Races,20,0,0
6007,Mesquite High School,Native Hawaiian or Pacific Islander,0,0,0
6007,Mesquite High School,Special Education,54,42,77.8
6007,Mesquite High School,White,161,137,85.1
79823,Desert Ridge High,All,576,515,89.4
79823,Desert Ridge High,American Indian or Alaska Native,0,0,0
79823,Desert Ridge High,Asian,15,0,0
79823,Desert Ridge High,Black/African American,15,0,0
79823,Desert Ridge High,English Learners,0,0,0
79823,Desert Ridge High,ELFEP14,0,0,0
79823,Desert Ridge High,Female,287,253,88.2
79823,Desert Ridge High,Foster Care,0,0,0
79823,Desert Ridge High,Hispanic or Latino,166,148,89.2
79823,Desert Ridge High,Homeless,0,0,0
79823,Desert Ridge High,Income Eligibility 1 & 2,119,96,80.7
79823,Desert Ridge High,Male,289,262,90.7
79823,Desert Ridge High,Military,14,0,0
79823,Desert Ridge High,Multiple Races,20,0,0
79823,Desert Ridge High,Native Hawaiian or Pacific Islander,0,0,0
79823,Desert Ridge High,Special Education,63,48,76.2
79823,Desert Ridge High,White,335,309,92.2
89606,Gilbert Classical Academy 7-12,All,84,0,0
89606,Gilbert Classical Academy 7-12,Asian,37,0,0
89606,Gilbert Classical Academy 7-12,Black/African American,0,0,0
89606,Gilbert Classical Academy 7-12,Female,47,0,0
89606,Gilbert Classical Academy 7-12,Hispanic or Latino,14,0,0
89606,Gilbert Classical Academy 7-12,Income Eligibility 1 & 2,0,0,0
89606,Gilbert Classical Academy 7-12,Male,37,0,0
89606,Gilbert Classical Academy 7-12,Military,0,0,0
89606,Gilbert Classical Academy 7-12,Multiple Races,0,0,0
89606,Gilbert Classical Academy 7-12,Special Education,0,0,0
89606,Gilbert Classical Academy 7-12,White,26,0,0
90124,Campo Verde High School,All,490,465,94.9
90124,Campo Verde High School,American Indian or Alaska Native,0,0,0
90124,Campo Verde High School,Asian,17,0,0
90124,Campo Verde High School,Black/African American,13,0,0
90124,Campo Verde High School,English Learners,0,0,0
90124,Campo Verde High School,ELFEP14,0,0,0
90124,Campo Verde High School,Female,244,0,0
90124,Campo Verde High School,Foster Care,0,0,0
90124,Campo Verde High School,Hispanic or Latino,118,0,0
90124,Campo Verde High School,Homeless,0,0,0
90124,Campo Verde High School,Income Eligibility 1 & 2,67,0,0
90124,Campo Verde High School,Male,246,0,92.3
90124,Campo Verde High School,Military,0,0,0
90124,Campo Verde High School,Multiple Races,14,0,0
90124,Campo Verde High School,Native Hawaiian or Pacific Islander,0,0,0
90124,Campo Verde High School,Special Education,38,0,0
90124,Campo Verde High School,White,314,303,96.5
91209,GPS Global Academy,All,131,59,45
91209,GPS Global Academy,American Indian or Alaska Native,0,0,0
91209,GPS Global Academy,Asian,0,0,0
91209,GPS Global Academy,Black/African American,0,0,0
91209,GPS Global Academy,ELFEP14,0,0,0
91209,GPS Global Academy,Female,66,34,51.5
91209,GPS Global Academy,Hispanic or Latino,26,12,46.2
91209,GPS Global Academy,Homeless,0,0,0
91209,GPS Global Academy,Income Eligibility 1 & 2,14,0,0
91209,GPS Global Academy,Male,65,25,38.5
91209,GPS Global Academy,Military,0,0,0
91209,GPS Global Academy,Multiple Races,0,0,0
91209,GPS Global Academy,Native Hawaiian or Pacific Islander,0,0,0
91209,GPS Global Academy,Special Education,0,0,0
91209,GPS Global Academy,White,85,42,49.4
5066,Arcadia High School,All,410,385,93.9
5066,Arcadia High School,American Indian or Alaska Native,0,0,0
5066,Arcadia High School,Asian,0,0,0
5066,Arcadia High School,Black/African American,21,0,0
5066,Arcadia High School,English Learners,0,0,0
5066,Arcadia High School,ELFEP14,0,0,0
5066,Arcadia High School,Female,205,0,92.7
5066,Arcadia High School,Hispanic or Latino,145,0,0
5066,Arcadia High School,Homeless,0,0,0
5066,Arcadia High School,Income Eligibility 1 & 2,112,0,0
5066,Arcadia High School,Male,205,0,0
5066,Arcadia High School,Military,0,0,0
5066,Arcadia High School,Multiple Races,0,0,0
5066,Arcadia High School,Special Education,25,0,0
5066,Arcadia High School,White,219,0,0
5067,Coronado High School,All,177,153,86.4
5067,Coronado High School,American Indian or Alaska Native,14,0,0
5067,Coronado High School,Black/African American,0,0,0
5067,Coronado High School,English Learners,0,0,0
5067,Coronado High School,ELFEP14,14,0,0
5067,Coronado High School,Female,90,79,87.8
5067,Coronado High School,Foster Care,0,0,0
5067,Coronado High School,Hispanic or Latino,105,0,0
5067,Coronado High School,Homeless,0,0,0
5067,Coronado High School,Income Eligibility 1 & 2,105,0,0
5067,Coronado High School,Male,87,74,85.1
5067,Coronado High School,Multiple Races,0,0,0
5067,Coronado High School,Special Education,29,0,0
5067,Coronado High School,White,45,33,73.3
5068,Saguaro High School,All,334,314,94
5068,Saguaro High School,American Indian or Alaska Native,0,0,0
5068,Saguaro High School,Asian,0,0,0
5068,Saguaro High School,Black/African American,27,0,0
5068,Saguaro High School,English Learners,0,0,0
5068,Saguaro High School,ELFEP14,0,0,0
5068,Saguaro High School,Female,165,0,92.7
5068,Saguaro High School,Hispanic or Latino,67,0,0
5068,Saguaro High School,Homeless,0,0,0
5068,Saguaro High School,Income Eligibility 1 & 2,67,0,0
5068,Saguaro High School,Male,169,0,0
5068,Saguaro High School,Multiple Races,0,0,0
5068,Saguaro High School,Native Hawaiian or Pacific Islander,0,0,0
5068,Saguaro High School,Special Education,22,0,0
5068,Saguaro High School,White,212,0,0
5069,Chaparral High School,All,587,562,95.7
5069,Chaparral High School,American Indian or Alaska Native,0,0,0
5069,Chaparral High School,Asian,44,0,0
5069,Chaparral High School,Black/African American,11,0,0
5069,Chaparral High School,English Learners,0,0,0
5069,Chaparral High School,ELFEP14,0,0,0
5069,Chaparral High School,Female,288,0,0
5069,Chaparral High School,Hispanic or Latino,56,0,0
5069,Chaparral High School,Homeless,0,0,0
5069,Chaparral High School,Income Eligibility 1 & 2,20,0,0
5069,Chaparral High School,Male,299,0,95
5069,Chaparral High School,Military,0,0,0
5069,Chaparral High School,Multiple Races,0,0,0
5069,Chaparral High School,Native Hawaiian or Pacific Islander,0,0,0
5069,Chaparral High School,Special Education,14,0,0
5069,Chaparral High School,White,461,444,96.3
5070,Desert Mountain High School,All,462,432,93.5
5070,Desert Mountain High School,American Indian or Alaska Native,0,0,0
5070,Desert Mountain High School,Asian,45,0,0
5070,Desert Mountain High School,Black/African American,11,0,0
5070,Desert Mountain High School,English Learners,0,0,0
5070,Desert Mountain High School,ELFEP14,0,0,0
5070,Desert Mountain High School,Female,236,222,94.1
5070,Desert Mountain High School,Foster Care,0,0,0
5070,Desert Mountain High School,Hispanic or Latino,44,0,0
5070,Desert Mountain High School,Income Eligibility 1 & 2,20,0,0
5070,Desert Mountain High School,Male,226,210,92.9
5070,Desert Mountain High School,Multiple Races,0,0,0
5070,Desert Mountain High School,Special Education,33,0,0
5070,Desert Mountain High School,White,350,329,94
91286,Scottsdale Online Learning,All,120,76,63.3
91286,Scottsdale Online Learning,American Indian or Alaska Native,0,0,0
91286,Scottsdale Online Learning,Asian,0,0,0
91286,Scottsdale Online Learning,Black/African American,0,0,0
91286,Scottsdale Online Learning,Female,69,43,62.3
91286,Scottsdale Online Learning,Hispanic or Latino,14,0,0
91286,Scottsdale Online Learning,Income Eligibility 1 & 2,0,0,0
91286,Scottsdale Online Learning,Male,51,33,64.7
91286,Scottsdale Online Learning,Multiple Races,0,0,0
91286,Scottsdale Online Learning,Special Education,0,0,0
91286,Scottsdale Online Learning,White,92,62,67.4
5071,Roadrunner School,All,0,0,0
5071,Roadrunner School,Female,0,0,0
5071,Roadrunner School,Homeless,0,0,0
5071,Roadrunner School,Income Eligibility 1 & 2,0,0,0
5071,Roadrunner School,Male,0,0,0
5071,Roadrunner School,Multiple Races,0,0,0
5071,Roadrunner School,Special Education,0,0,0
5071,Roadrunner School,White,0,0,0
5105,Paradise Valley High School,All,463,382,82.5
5105,Paradise Valley High School,American Indian or Alaska Native,0,0,0
5105,Paradise Valley High School,Asian,30,0,0
5105,Paradise Valley High School,Black/African American,16,0,0
5105,Paradise Valley High School,English Learners,31,18,58.1
5105,Paradise Valley High School,ELFEP14,35,21,60
5105,Paradise Valley High School,Female,222,192,86.5
5105,Paradise Valley High School,Hispanic or Latino,204,158,77.5
5105,Paradise Valley High School,Homeless,0,0,0
5105,Paradise Valley High School,Income Eligibility 1 & 2,137,105,76.6
5105,Paradise Valley High School,Male,241,190,78.8
5105,Paradise Valley High School,Multiple Races,0,0,0
5105,Paradise Valley High School,Special Education,37,0,0
5105,Paradise Valley High School,White,176,154,87.5
5106,Horizon High School,All,516,486,94.2
5106,Horizon High School,American Indian or Alaska Native,0,0,0
5106,Horizon High School,Asian,15,0,0
5106,Horizon High School,Black/African American,12,0,0
5106,Horizon High School,English Learners,0,0,0
5106,Horizon High School,ELFEP14,0,0,0
5106,Horizon High School,Female,266,252,94.7
5106,Horizon High School,Hispanic or Latino,55,0,0
5106,Horizon High School,Income Eligibility 1 & 2,38,0,0
5106,Horizon High School,Male,250,234,93.6
5106,Horizon High School,Multiple Races,30,0,0
5106,Horizon High School,Native Hawaiian or Pacific Islander,0,0,0
5106,Horizon High School,Special Education,50,0,0
5106,Horizon High School,White,382,363,95
5107,North Canyon High School,All,404,329,81.4
5107,North Canyon High School,American Indian or Alaska Native,0,0,0
5107,North Canyon High School,Asian,11,0,0
5107,North Canyon High School,Black/African American,24,0,0
5107,North Canyon High School,English Learners,30,0,0
5107,North Canyon High School,ELFEP14,35,24,68.6
5107,North Canyon High School,Female,194,162,83.5
5107,North Canyon High School,Foster Care,0,0,0
5107,North Canyon High School,Hispanic or Latino,244,195,79.9
5107,North Canyon High School,Homeless,0,0,0
5107,North Canyon High School,Income Eligibility 1 & 2,228,198,86.8
5107,North Canyon High School,Male,210,167,79.5
5107,North Canyon High School,Multiple Races,13,0,0
5107,North Canyon High School,Special Education,60,39,65
5107,North Canyon High School,White,92,80,87
5108,Shadow Mountain High School,All,248,212,85.5
5108,Shadow Mountain High School,American Indian or Alaska Native,0,0,0
5108,Shadow Mountain High School,Asian,0,0,0
